county_id,county_name,admin_code,city,province,is_poverty_alleviated,alleviation_year
NMG000001,兴和县,150924,乌兰察布市,内蒙古自治区,1,2019
NMG000002,化德县,150922,乌兰察布市,内蒙古自治区,1,2019
NMG000003,卓资县,150921,乌兰察布市,内蒙古自治区,1,2019
NMG000004,商都县,150923,乌兰察布市,内蒙古自治区,1,2019
NMG000005,四子王旗,150929,乌兰察布市,内蒙古自治区,1,2019
NMG000006,察哈尔右翼中旗,150927,乌兰察布市,内蒙古自治区,1,2019
NMG000007,察哈尔右翼前旗,150926,乌兰察布市,内蒙古自治区,1,2019
NMG000008,察哈尔右翼后旗,150928,乌兰察布市,内蒙古自治区,1,2018
NMG000009,扎赉特旗,152223,兴安盟,内蒙古自治区,1,2018
NMG000010,科尔沁右翼中旗,152222,兴安盟,内蒙古自治区,1,2018
NMG000011,科尔沁右翼前旗,152221,兴安盟,内蒙古自治区,1,2019
NMG000012,突泉县,152224,兴安盟,内蒙古自治区,1,2019
NMG000013,阿尔山市,152202,兴安盟,内蒙古自治区,1,2018
NMG000014,莫力达瓦达斡尔族自治旗,150722,呼伦贝尔市,内蒙古自治区,1,2019
NMG000015,鄂伦春自治旗,150723,呼伦贝尔市,内蒙古自治区,1,2019
NMG000016,武川县,150125,呼和浩特市,内蒙古自治区,1,2018
NMG000017,喀喇沁旗,150428,赤峰市,内蒙古自治区,1,2018
NMG000018,宁城县,150429,赤峰市,内蒙古自治区,1,2018
NMG000019,巴林右旗,150423,赤峰市,内蒙古自治区,1,2018
NMG000020,巴林左旗,150422,赤峰市,内蒙古自治区,1,2019
NMG000021,敖汉旗,150430,赤峰市,内蒙古自治区,1,2019
NMG000022,林西县,150424,赤峰市,内蒙古自治区,1,2017
NMG000023,翁牛特旗,150426,赤峰市,内蒙古自治区,1,2019
NMG000024,阿鲁科尔沁旗,150421,赤峰市,内蒙古自治区,1,2019
NMG000025,奈曼旗,150525,通辽市,内蒙古自治区,1,2019
NMG000026,库伦旗,150524,通辽市,内蒙古自治区,1,2019
NMG000027,科尔沁左翼中旗,150521,通辽市,内蒙古自治区,1,2019
NMG000028,科尔沁左翼后旗,150522,通辽市,内蒙古自治区,1,2018
NMG000029,太仆寺旗,152527,锡林郭勒盟,内蒙古自治区,1,2019
NMG000030,正镶白旗,152529,锡林郭勒盟,内蒙古自治区,1,2019
NMG000031,苏尼特右旗,152524,锡林郭勒盟,内蒙古自治区,1,2018
